area_total,geom_type,HYBAS_ID,D1_raw,D2_raw,D4_raw,D5_raw,area_total_ha,n_indicadores_validos,D1_norm,D2_norm,D4_norm,D5_norm,ICSHM_EO,veto_activado,categoria,Ii,p_sim,quadrant,p_fdr,significativo_FDR,LISA_cat
8120.102824404833,Polygon,6090086020,0.5538863553742176,-0.0064472315657008,1.3298495910644532,0.0,8121.003273740284,4,0.4692497779914525,0.3323911539031386,0.897019406776051,1.0,0.6746650846676605,False,Alto,0.5571029695837899,0.022,1,0.10559999999999999,False,NS
63767.98482484244,Polygon,6090085920,1.0023298763326791,-0.0357448772248166,938.0037307246158,0.0,63767.72154067925,4,0.5682300739643631,0.4393973582580722,0.1666109317635251,1.0,0.5435595909964901,True,Crítico (veto),-0.32666048889510463,0.014,2,0.084,False,NS
964.8956711256957,Polygon,6090087020,0.6703351009305055,-0.0767722443597781,0.0,0.0,963.9952217902488,4,0.4949523040892778,0.5892449904831754,1.0,1.0,0.7710493236431133,False,Alto,1.0103681555798607,0.044,1,0.15839999999999999,False,NS
424.9523230285362,Polygon,6090087030,0.6472944623176036,0.0025823183042683,0.0,0.0,424.9523230285362,4,0.4898667824511558,0.2994117851899963,1.0,1.0,0.6973196419102881,False,Alto,0.6809461633714397,0.028,1,0.12218181818181818,False,NS
66043.11549362753,Polygon,6090087210,1.4705107457265807,-0.0394770009677991,3688.454987185459,0.0,66044.30639544786,4,0.6715667905310754,0.4530285012026667,0.0,1.0,0.5311488229334356,True,Crítico (veto),-0.0979024025779016,0.315,2,0.38117647058823534,False,NS
124.278517021951,Polygon,6090087250,0.6711644592189319,0.0131888764832468,0.0,0.0,124.278517021951,4,0.4951353597585416,0.2606725791388397,1.0,1.0,0.6889519847243453,False,Alto,0.6364422213319614,0.025,1,0.11612903225806452,False,NS
20935.970822398616,Polygon,6090087240,0.8115867937151185,-0.0909986222267694,1487.072112621404,0.0,20935.970822398616,4,0.5261293279620136,0.6412051621289852,0.1105529619977121,1.0,0.5694718630221778,True,Crítico (veto),-0.10313374428633114,0.067,2,0.1820377358490566,False,NS
50143.696002701414,Polygon,6090087310,0.7623116151739985,0.0034807174152863,1205.4041564298632,0.0,50143.06907563306,4,0.5152533279125673,0.2961304881197667,0.1361016354884349,1.0,0.4868713628801922,True,Crítico (veto),-0.22266668450914315,0.262,2,0.3429818181818182,False,NS
23175.81787295576,Polygon,6090086730,0.9889000792566464,-0.1079478832692107,986.3308265325842,0.0,23175.17779868765,4,0.5652658538846511,0.7031103442680241,0.1605005841522776,1.0,0.6072191955762382,True,Crítico (veto),0.1314170710425629,0.009,1,0.06821052631578947,False,NS
4339.19430599167,Polygon,6090086720,0.6726154496266323,-0.1269860567442271,17.111641992187515,0.0,4339.19430599167,4,0.4954556218501893,0.7726450333387964,0.6473307680918989,1.0,0.7288578558202212,False,Alto,0.7229834036541298,0.056,1,0.171,False,NS
