HYBAS_ID,area_total_ha,D5_mineria_ha,D5_proporcion
6090101880,11000.67086068289,0.0,0.0
6090101810,43237.46443277505,0.0,0.0
6090101820,149.38569977014157,0.0,0.0
6090101980,15474.188314265919,0.0,0.0
6090101900,63237.5279428242,0.888857666015625,1.405585725645822E-5
6090097280,32907.718538972695,0.0,0.0
6090097170,27486.35888792534,0.0,0.0
6090097150,14635.941213153672,0.17762359008789064,1.2136123499065169E-5
6090103010,17138.516700378266,392.7166319286395,0.022914271917124068
6090102970,53796.30542736826,93.97659439460327,0.0017468968109991016
6090096290,21531.86192392258,1.3320611755371095,6.186465342586779E-5
6090096230,21262.649866028474,0.0,0.0
6090103840,679.485947295815,0.0,0.0
6090103890,76758.79806799848,71.67022203369143,9.337069344181339E-4
6090103670,16194.226965505752,0.0,0.0
6090103640,35840.05581929174,0.0,0.0
6090104930,9404.874489479002,53.64085267563766,0.0057035160581509455
6090104920,29373.940227941708,0.0,0.0
6090099730,53564.89379353356,0.0,0.0
6090099640,21844.373756310888,0.0,0.0
6090105130,7488.678723779154,0.0,0.0
6090105140,12946.192687543371,117.03612274160322,0.009040196262041859
6090105910,20030.133503934245,0.0,0.0
6090105950,12945.643312801578,0.0,0.0
6090101450,25103.81931840908,0.0,0.0
6090101460,22959.300386487612,0.0,0.0
6090106970,15844.859356467321,222.59791336468896,0.01404858877928962
6090106870,1020.5348841908226,30.046156664632157,0.029441577284695777
6090106880,43915.842809623005,408.7446841612108,0.009307453939416259
6090106980,41670.85577337119,136.22243596935806,0.003269009801723532
6090108220,2290.4084840706023,21.896274871108123,0.009559986798596388
6090108280,52547.838972546604,1.4234939514160156,2.708948606163831E-5
6090108760,17236.265399051445,184.89667103675984,0.010727188677828967
6090108810,36346.71608222628,211.1827907970959,0.005810230292039101
6090108730,18759.55008404306,534.6026845306491,0.02849762825524179
6090110460,26754.025342348294,1313.9939900979077,0.049113879996892235
6090110380,26482.103955213865,8.275855468749995,3.125074760957814E-4
6090112830,13439.03848819422,1238.6689567488318,0.09216946270649974
6090112900,51394.59954258234,4231.412068888192,0.08233184238321206
6090111750,77161.0058943169,107.41445041111356,0.0013920820389282263
6090111660,1654.1747197718037,3.851158454422296,0.0023281449102024545
6090111270,17204.396665205863,33.884675165153915,0.0019695358009085093
6090111410,63450.14863090327,0.7943201565132889,1.2518806868900176E-5
6090113480,12532.443275086065,19.61282431980504,0.0015649641406152983
6090113430,10843.53141231197,9.186430645153566,8.471807104024343E-4
6090108230,7334.430106422981,0.0,0.0
6090108090,14463.049553364948,0.0,0.0
6090107760,28238.025287122928,0.0,0.0
6090107630,32458.09991569392,19.032237225341802,5.863632583169005E-4
6091001330,12921.267085168602,0.0,0.0
6090081180,2567.4995621630464,0.0,0.0
6090082590,5330.674339499574,0.0,0.0
6090086490,1009.9542011879487,0.0,0.0
6090088570,198.5988948355737,0.0,0.0
6090099560,254.30992785299466,0.0,0.0
6090099740,402.68051340818437,0.0,0.0
6090101910,634.5337820090249,0.0,0.0
6090105890,979.7684972817881,0.0,0.0
6090106510,2179.6239315179755,0.0,0.0
6090119240,593.3313753290673,17.762508477472064,0.029936910832704246
