HYBAS_ID,area_total_ha,D2_NDTI
6090112900,51394.59954258258,-0.0050927069912089
6090113430,10843.53141231199,-0.0248964327759023
6090113480,12532.44327508608,-0.1173706071982791
6090114410,2658.099190555632,
6090114630,205.6913720129604,
6090117510,1697.103846073972,-0.0420324542914312
6090118350,1840.932533443256,-0.0128906372841794
6090118450,170.90976477809625,-0.0109911153230182
6090119240,593.3313753290407,-0.011640532236873
6091001330,12921.2670851701,-0.0518876899964974
